city,year,age,count,sex
FR,2005,0-4,7.0,male
FR,2006,0-4,8.0,male
FR,2007,0-4,8.0,male
FR,2008,0-4,5.0,male
GA,2008,0-4,1.0,male
GB,2005,0-4,4.0,male
GB,2006,0-4,3.0,male
GB,2007,0-4,2.0,male
GB,2008,0-4,1.0,male
GD,2006,0-4,0.0,male
GE,2005,0-4,0.0,male
GE,2006,0-4,0.0,male
GE,2007,0-4,6.0,male
GE,2008,0-4,39.0,male
GM,2006,0-4,13.0,male
GM,2008,0-4,1.0,male
GR,2005,0-4,0.0,male
GR,2006,0-4,0.0,male
GR,2007,0-4,0.0,male
GR,2008,0-4,0.0,male
GT,2007,0-4,18.0,male
GT,2008,0-4,0.0,male
GU,2007,0-4,0.0,male
GU,2008,0-4,0.0,male
GY,2008,0-4,2.0,male
HK,2005,0-4,0.0,male
HK,2006,0-4,0.0,male
HK,2007,0-4,1.0,male
HK,2008,0-4,0.0,male
HN,2006,0-4,5.0,male
HN,2007,0-4,5.0,male
HN,2008,0-4,1.0,male
HR,2005,0-4,0.0,male
HR,2006,0-4,0.0,male
HR,2008,0-4,0.0,male
HT,2007,0-4,26.0,male
HT,2008,0-4,8.0,male
HU,2005,0-4,0.0,male
HU,2006,0-4,0.0,male
HU,2007,0-4,0.0,male
HU,2008,0-4,0.0,male
ID,2007,0-4,213.0,male
ID,2008,0-4,161.0,male
IE,2005,0-4,0.0,male
IE,2006,0-4,0.0,male
IE,2007,0-4,0.0,male
IE,2008,0-4,1.0,male
IL,2005,0-4,0.0,male
IL,2006,0-4,0.0,male
IL,2007,0-4,0.0,male
IL,2008,0-4,0.0,male
IQ,2006,0-4,0.0,male
IQ,2007,0-4,0.0,male
IQ,2008,0-4,2.0,male
IR,2006,0-4,4.0,male
IR,2007,0-4,3.0,male
IR,2008,0-4,0.0,male
IS,2005,0-4,0.0,male
IS,2006,0-4,0.0,male
IS,2007,0-4,0.0,male
IS,2008,0-4,0.0,male
IT,2005,0-4,7.0,male
IT,2006,0-4,6.0,male
IT,2007,0-4,1.0,male
IT,2008,0-4,1.0,male
JM,2006,0-4,0.0,male
JM,2007,0-4,0.0,male
JM,2008,0-4,2.0,male
JO,2006,0-4,0.0,male
JO,2007,0-4,0.0,male
JO,2008,0-4,0.0,male
JP,2007,0-4,1.0,male
JP,2008,0-4,0.0,male
KE,2007,0-4,23.0,male
KE,2008,0-4,40.0,male
KG,2005,0-4,0.0,male
KI,2007,0-4,0.0,male
KI,2008,0-4,0.0,male
KM,2006,0-4,1.0,male
KM,2008,0-4,0.0,male
KN,2008,0-4,0.0,male
KP,2008,0-4,11.0,male
KR,2006,0-4,0.0,male
KR,2007,0-4,3.0,male
KR,2008,0-4,3.0,male
KW,2007,0-4,0.0,male
KW,2008,0-4,0.0,male
KY,2006,0-4,0.0,male
KY,2007,0-4,0.0,male
KZ,2005,0-4,0.0,male
KZ,2007,0-4,3.0,male
KZ,2008,0-4,0.0,male
LB,2006,0-4,0.0,male
LB,2007,0-4,0.0,male
LB,2008,0-4,0.0,male
LC,2008,0-4,0.0,male
LR,2008,0-4,3.0,male
LS,2007,0-4,1.0,male
LS,2008,0-4,0.0,male
LT,2005,0-4,0.0,male
LT,2006,0-4,0.0,male
LT,2007,0-4,0.0,male
LT,2008,0-4,0.0,male
LU,2005,0-4,0.0,male
LU,2006,0-4,0.0,male
LU,2007,0-4,0.0,male
LU,2008,0-4,0.0,male
LV,2005,0-4,0.0,male
LV,2006,0-4,0.0,male
LV,2008,0-4,0.0,male
LY,2006,0-4,0.0,male
LY,2008,0-4,1.0,male
MA,2006,0-4,4.0,male
MA,2007,0-4,4.0,male
MA,2008,0-4,5.0,male
MD,2005,0-4,0.0,male
MD,2007,0-4,0.0,male
MD,2008,0-4,0.0,male
ME,2005,0-4,0.0,male
ME,2006,0-4,0.0,male
ME,2007,0-4,0.0,male
ME,2008,0-4,0.0,male
MG,2007,0-4,94.0,male
MG,2008,0-4,21.0,male
MH,2007,0-4,0.0,male
MH,2008,0-4,0.0,male
MK,2005,0-4,0.0,male
MK,2006,0-4,0.0,male
MK,2007,0-4,0.0,male
MK,2008,0-4,0.0,male
ML,2008,0-4,2.0,male
MO,2007,0-4,0.0,male
MO,2008,0-4,0.0,male
MP,2007,0-4,0.0,male
MP,2008,0-4,0.0,male
MT,2005,0-4,0.0,male
MT,2006,0-4,0.0,male
MT,2007,0-4,0.0,male
MT,2008,0-4,0.0,male
MU,2007,0-4,0.0,male
MU,2008,0-4,0.0,male
MV,2006,0-4,0.0,male
MV,2007,0-4,0.0,male
MV,2008,0-4,0.0,male
MW,2007,0-4,0.0,male
MW,2008,0-4,1.0,male
MX,2006,0-4,68.0,male
MX,2007,0-4,61.0,male
MX,2008,0-4,62.0,male
MY,2006,0-4,148.0,male
MY,2007,0-4,79.0,male
MY,2008,0-4,61.0,male
NC,2008,0-4,0.0,male
NE,2008,0-4,5.0,male
NI,2006,0-4,0.0,male
NI,2007,0-4,0.0,male
NL,2005,0-4,0.0,male
NL,2006,0-4,0.0,male
NL,2007,0-4,1.0,male
NL,2008,0-4,0.0,male
NO,2005,0-4,0.0,male
NO,2006,0-4,0.0,male
NO,2008,0-4,0.0,male
NP,2006,0-4,0.0,male
NP,2007,0-4,0.0,male
NR,2006,0-4,0.0,male
NR,2007,0-4,0.0,male
NR,2008,0-4,0.0,male
NU,2006,0-4,0.0,male
NU,2007,0-4,0.0,male
NZ,2006,0-4,0.0,male
NZ,2007,0-4,0.0,male
NZ,2008,0-4,0.0,male
OM,2006,0-4,0.0,male
OM,2008,0-4,0.0,male
PA,2008,0-4,1.0,male
PE,2006,0-4,36.0,male
PE,2007,0-4,10.0,male
PE,2008,0-4,10.0,male
PF,2008,0-4,0.0,male
PL,2005,0-4,2.0,male
PL,2006,0-4,1.0,male
PL,2007,0-4,0.0,male
PL,2008,0-4,3.0,male
PR,2007,0-4,0.0,male
PR,2008,0-4,0.0,male
PS,2006,0-4,0.0,male
PS,2007,0-4,0.0,male
PS,2008,0-4,0.0,male
PT,2005,0-4,3.0,male
PT,2006,0-4,4.0,male
PT,2007,0-4,1.0,male
PT,2008,0-4,1.0,male
PW,2006,0-4,1.0,male
PW,2007,0-4,0.0,male
PY,2006,0-4,6.0,male
PY,2007,0-4,3.0,male
PY,2008,0-4,3.0,male
QA,2007,0-4,0.0,male
QA,2008,0-4,0.0,male
RO,2005,0-4,10.0,male
RO,2006,0-4,9.0,male
RO,2007,0-4,12.0,male
RO,2008,0-4,8.0,male
RS,2005,0-4,0.0,male
RS,2006,0-4,2.0,male
RS,2007,0-4,0.0,male
RS,2008,0-4,0.0,male
RU,2007,0-4,3.0,male
RU,2008,0-4,1.0,male
RW,2007,0-4,7.0,male
RW,2008,0-4,4.0,male
SA,2008,0-4,4.0,male
SB,2007,0-4,0.0,male
SB,2008,0-4,0.0,male
SC,2008,0-4,0.0,male
SD,2006,0-4,0.0,male
SD,2008,0-4,40.0,male
SE,2005,0-4,0.0,male
SE,2006,0-4,0.0,male
SE,2007,0-4,0.0,male
SE,2008,0-4,0.0,male
SG,2006,0-4,1.0,male
SG,2007,0-4,0.0,male
SG,2008,0-4,0.0,male
SI,2005,0-4,0.0,male
SI,2006,0-4,0.0,male
SI,2007,0-4,0.0,male
SI,2008,0-4,0.0,male
SK,2005,0-4,0.0,male
SK,2006,0-4,1.0,male
SK,2007,0-4,0.0,male
SK,2008,0-4,0.0,male
SL,2007,0-4,1.0,male
SL,2008,0-4,3.0,male
SN,2008,0-4,2.0,male
SR,2006,0-4,1.0,male
ST,2006,0-4,0.0,male
ST,2007,0-4,0.0,male
SV,2007,0-4,0.0,male
SV,2008,0-4,0.0,male
SY,2006,0-4,0.0,male
SY,2007,0-4,0.0,male
SY,2008,0-4,2.0,male
SZ,2007,0-4,2.0,male
SZ,2008,0-4,1.0,male
TC,2006,0-4,0.0,male
TJ,2005,0-4,0.0,male
TJ,2008,0-4,0.0,male
TK,2007,0-4,0.0,male
TM,2005,0-4,0.0,male
TM,2007,0-4,0.0,male
TO,2006,0-4,0.0,male
TO,2007,0-4,0.0,male
TO,2008,0-4,0.0,male
TR,2005,0-4,1.0,male
TR,2006,0-4,2.0,male
TR,2007,0-4,13.0,male
TR,2008,0-4,7.0,male
TT,2007,0-4,0.0,male
TT,2008,0-4,0.0,male
TV,2006,0-4,7.0,male
TV,2008,0-4,0.0,male
UA,2007,0-4,5.0,male
UA,2008,0-4,1.0,male
UG,2008,0-4,0.0,male
US,2006,0-4,4.0,male
US,2007,0-4,4.0,male
US,2008,0-4,4.0,male
UY,2008,0-4,0.0,male
UZ,2005,0-4,1.0,male
UZ,2006,0-4,8.0,male
UZ,2007,0-4,0.0,male
UZ,2008,0-4,3.0,male
VC,2007,0-4,0.0,male
VE,2006,0-4,1.0,male
VE,2007,0-4,0.0,male
VE,2008,0-4,0.0,male
VU,2008,0-4,0.0,male
WF,2007,0-4,0.0,male
WS,2008,0-4,0.0,male
ZA,2006,0-4,655.0,male
ZA,2007,0-4,340.0,male
ZA,2008,0-4,344.0,male
ZW,2007,0-4,6.0,male
AD,2005,5-14,0.0,male
AD,2006,5-14,0.0,male
AD,2008,5-14,0.0,male
AE,2006,5-14,0.0,male
AE,2007,5-14,2.0,male
AE,2008,5-14,0.0,male
AG,2007,5-14,0.0,male
AL,2005,5-14,0.0,male
AL,2006,5-14,4.0,male
AL,2007,5-14,0.0,male
AL,2008,5-14,0.0,male
AM,2005,5-14,2.0,male
AM,2006,5-14,0.0,male
AM,2007,5-14,1.0,male
AM,2008,5-14,0.0,male
AN,2006,5-14,0.0,male
AR,2006,5-14,48.0,male
AR,2007,5-14,63.0,male
AR,2008,5-14,58.0,male
AT,2005,5-14,0.0,male
AT,2006,5-14,1.0,male
AT,2007,5-14,1.0,male
AU,2006,5-14,1.0,male
AU,2007,5-14,3.0,male
AZ,2005,5-14,75.0,male
AZ,2006,5-14,5.0,male
BA,2005,5-14,1.0,male
BA,2006,5-14,0.0,male
BA,2007,5-14,0.0,male
BA,2008,5-14,0.0,male
BB,2007,5-14,0.0,male
BB,2008,5-14,0.0,male
BE,2005,5-14,0.0,male
BE,2006,5-14,1.0,male
BE,2007,5-14,1.0,male
BE,2008,5-14,1.0,male
BF,2007,5-14,6.0,male
BG,2005,5-14,9.0,male
BG,2007,5-14,5.0,male
BG,2008,5-14,1.0,male
BH,2008,5-14,0.0,male
BI,2007,5-14,0.0,male
BN,2007,5-14,0.0,male
BN,2008,5-14,0.0,male
BR,2006,5-14,207.0,male
BR,2007,5-14,196.0,male
BR,2008,5-14,183.0,male
BS,2007,5-14,0.0,male
BS,2008,5-14,0.0,male
BW,2008,5-14,23.0,male
BZ,2006,5-14,3.0,male
BZ,2007,5-14,0.0,male
BZ,2008,5-14,1.0,male
CA,2006,5-14,1.0,male
CA,2007,5-14,1.0,male
CA,2008,5-14,2.0,male
CH,2005,5-14,1.0,male
CH,2006,5-14,1.0,male
CH,2007,5-14,0.0,male
CH,2008,5-14,0.0,male
CK,2006,5-14,0.0,male
CL,2006,5-14,7.0,male
CL,2007,5-14,3.0,male
CL,2008,5-14,6.0,male
CM,2008,5-14,0.0,male
CR,2006,5-14,1.0,male
CR,2007,5-14,2.0,male
CR,2008,5-14,3.0,male
CU,2008,5-14,2.0,male
CV,2006,5-14,2.0,male
CV,2008,5-14,0.0,male
CY,2005,5-14,0.0,male
CY,2006,5-14,0.0,male
CY,2007,5-14,0.0,male
CY,2008,5-14,0.0,male
CZ,2005,5-14,0.0,male
CZ,2006,5-14,0.0,male
CZ,2007,5-14,0.0,male
CZ,2008,5-14,0.0,male
DE,2005,5-14,4.0,male
DE,2006,5-14,2.0,male
DE,2007,5-14,2.0,male
DE,2008,5-14,2.0,male
DJ,2007,5-14,10.0,male
DK,2005,5-14,0.0,male
DK,2006,5-14,0.0,male
DK,2007,5-14,0.0,male
DK,2008,5-14,0.0,male
DM,2006,5-14,0.0,male
DM,2007,5-14,0.0,male
DM,2008,5-14,0.0,male
DO,2008,5-14,14.0,male
EE,2005,5-14,0.0,male
EE,2006,5-14,0.0,male
EE,2007,5-14,0.0,male
EE,2008,5-14,0.0,male
EG,2006,5-14,35.0,male
EG,2008,5-14,13.0,male
ER,2007,5-14,17.0,male
ES,2005,5-14,7.0,male
ES,2006,5-14,6.0,male
ES,2007,5-14,6.0,male
ES,2008,5-14,9.0,male
FI,2005,5-14,1.0,male
FI,2006,5-14,0.0,male
FI,2007,5-14,0.0,male
FI,2008,5-14,0.0,male
FJ,2006,5-14,0.0,male
FM,2006,5-14,7.0,male
FM,2008,5-14,0.0,male
FR,2005,5-14,5.0,male
FR,2006,5-14,9.0,male
FR,2007,5-14,9.0,male
FR,2008,5-14,5.0,male
GA,2008,5-14,13.0,male
GB,2005,5-14,5.0,male
GB,2006,5-14,6.0,male
GB,2007,5-14,11.0,male
GB,2008,5-14,4.0,male
GD,2006,5-14,0.0,male
GE,2005,5-14,0.0,male
GE,2006,5-14,3.0,male
GE,2007,5-14,1.0,male
GE,2008,5-14,122.0,male
GM,2006,5-14,0.0,male
GM,2008,5-14,6.0,male
GR,2005,5-14,1.0,male
GR,2006,5-14,0.0,male
GR,2007,5-14,1.0,male
GR,2008,5-14,0.0,male
GT,2007,5-14,115.0,male
GT,2008,5-14,19.0,male
GU,2007,5-14,0.0,male
GU,2008,5-14,0.0,male
GY,2008,5-14,5.0,male
HK,2005,5-14,3.0,male
HK,2006,5-14,3.0,male
HK,2007,5-14,4.0,male
HK,2008,5-14,0.0,male
HN,2006,5-14,16.0,male
HN,2007,5-14,16.0,male
HN,2008,5-14,10.0,male
HR,2005,5-14,1.0,male
HR,2006,5-14,0.0,male
HR,2008,5-14,0.0,male
HT,2007,5-14,78.0,male
HT,2008,5-14,82.0,male
HU,2005,5-14,0.0,male
HU,2006,5-14,2.0,male
HU,2007,5-14,0.0,male
HU,2008,5-14,0.0,male
ID,2007,5-14,636.0,male
ID,2008,5-14,710.0,male
IE,2005,5-14,1.0,male
IE,2006,5-14,0.0,male
IE,2007,5-14,0.0,male
IE,2008,5-14,1.0,male
IL,2005,5-14,0.0,male
IL,2006,5-14,0.0,male
IL,2007,5-14,1.0,male
IL,2008,5-14,0.0,male
IQ,2006,5-14,14.0,male
IQ,2007,5-14,20.0,male
IQ,2008,5-14,16.0,male
IR,2006,5-14,8.0,male
IR,2007,5-14,7.0,male
IR,2008,5-14,11.0,male
IS,2005,5-14,0.0,male
IS,2006,5-14,0.0,male
IS,2007,5-14,0.0,male
IS,2008,5-14,0.0,male
IT,2005,5-14,1.0,male
IT,2006,5-14,1.0,male
IT,2007,5-14,2.0,male
IT,2008,5-14,12.0,male
JM,2006,5-14,0.0,male
JM,2007,5-14,0.0,male
JM,2008,5-14,1.0,male
JO,2006,5-14,0.0,male
JO,2007,5-14,0.0,male
JO,2008,5-14,0.0,male
JP,2006,5-14,3.0,male
JP,2007,5-14,0.0,male
JP,2008,5-14,2.0,male
KE,2007,5-14,451.0,male
KE,2008,5-14,411.0,male
KG,2005,5-14,1.0,male
KG,2006,5-14,3.0,male
KG,2007,5-14,3.0,male
KG,2008,5-14,1.0,male
KI,2007,5-14,2.0,male
KI,2008,5-14,2.0,male
KM,2006,5-14,0.0,male
KM,2008,5-14,2.0,male
KN,2008,5-14,0.0,male
KP,2008,5-14,430.0,male
KR,2006,5-14,19.0,male
KR,2007,5-14,48.0,male
KR,2008,5-14,18.0,male
KW,2007,5-14,1.0,male
KW,2008,5-14,0.0,male
KY,2006,5-14,0.0,male
KY,2007,5-14,0.0,male
KZ,2005,5-14,31.0,male
KZ,2007,5-14,11.0,male
KZ,2008,5-14,14.0,male
LB,2006,5-14,0.0,male
LB,2007,5-14,0.0,male
LB,2008,5-14,1.0,male
LC,2008,5-14,0.0,male
LR,2008,5-14,104.0,male
LS,2007,5-14,5.0,male
LS,2008,5-14,21.0,male
LT,2005,5-14,0.0,male
LT,2006,5-14,0.0,male
LT,2007,5-14,0.0,male
LT,2008,5-14,0.0,male
LU,2005,5-14,0.0,male
LU,2006,5-14,0.0,male
LU,2007,5-14,0.0,male
LU,2008,5-14,0.0,male
LV,2005,5-14,1.0,male
LV,2006,5-14,2.0,male
LV,2008,5-14,0.0,male
LY,2006,5-14,0.0,male
LY,2008,5-14,1.0,male
MA,2006,5-14,69.0,male
MA,2007,5-14,70.0,male
MA,2008,5-14,46.0,male
MD,2005,5-14,2.0,male
MD,2007,5-14,0.0,male
MD,2008,5-14,1.0,male
ME,2005,5-14,0.0,male
ME,2006,5-14,0.0,male
ME,2007,5-14,0.0,male
ME,2008,5-14,0.0,male
MG,2007,5-14,102.0,male
MG,2008,5-14,121.0,male
MH,2007,5-14,0.0,male
MH,2008,5-14,1.0,male
MK,2005,5-14,2.0,male
MK,2006,5-14,0.0,male
MK,2007,5-14,1.0,male
MK,2008,5-14,1.0,male
ML,2008,5-14,20.0,male
MO,2007,5-14,0.0,male
MO,2008,5-14,1.0,male
MP,2007,5-14,0.0,male
MP,2008,5-14,0.0,male
MT,2005,5-14,0.0,male
MT,2006,5-14,0.0,male
MT,2007,5-14,0.0,male
MT,2008,5-14,0.0,male
MU,2007,5-14,0.0,male
MU,2008,5-14,0.0,male
MV,2006,5-14,0.0,male
MV,2007,5-14,0.0,male
MV,2008,5-14,0.0,male
MW,2007,5-14,61.0,male
MW,2008,5-14,55.0,male
MX,2006,5-14,61.0,male
MX,2007,5-14,84.0,male
MX,2008,5-14,62.0,male
MY,2007,5-14,137.0,male
MY,2008,5-14,160.0,male
NC,2008,5-14,0.0,male
NE,2008,5-14,30.0,male
NI,2006,5-14,0.0,male
NI,2007,5-14,0.0,male
NL,2005,5-14,0.0,male
NL,2006,5-14,0.0,male
NL,2007,5-14,0.0,male
NL,2008,5-14,0.0,male
NO,2005,5-14,0.0,male
NO,2006,5-14,0.0,male
NO,2008,5-14,1.0,male
NP,2006,5-14,0.0,male
NP,2007,5-14,0.0,male
NR,2006,5-14,0.0,male
NR,2007,5-14,0.0,male
NR,2008,5-14,0.0,male
NU,2006,5-14,0.0,male
NU,2007,5-14,0.0,male
NZ,2006,5-14,5.0,male
NZ,2007,5-14,0.0,male
NZ,2008,5-14,0.0,male
OM,2006,5-14,6.0,male
OM,2008,5-14,0.0,male
PA,2008,5-14,8.0,male
PE,2006,5-14,364.0,male
PE,2007,5-14,385.0,male
PE,2008,5-14,74.0,male
PF,2008,5-14,1.0,male
PL,2005,5-14,1.0,male
PL,2006,5-14,0.0,male
PL,2007,5-14,2.0,male
PL,2008,5-14,3.0,male
PR,2007,5-14,0.0,male
PR,2008,5-14,0.0,male
PS,2006,5-14,0.0,male
PS,2007,5-14,0.0,male
PS,2008,5-14,0.0,male
PT,2005,5-14,2.0,male
PT,2006,5-14,3.0,male
PT,2007,5-14,3.0,male
PT,2008,5-14,1.0,male
PW,2006,5-14,0.0,male
PW,2007,5-14,0.0,male
PY,2006,5-14,14.0,male
PY,2007,5-14,11.0,male
PY,2008,5-14,8.0,male
QA,2007,5-14,0.0,male
QA,2008,5-14,1.0,male
RO,2005,5-14,26.0,male
RO,2006,5-14,21.0,male
RO,2007,5-14,13.0,male
RO,2008,5-14,14.0,male
RS,2005,5-14,3.0,male
RS,2006,5-14,4.0,male
RS,2007,5-14,0.0,male
RS,2008,5-14,1.0,male
RU,2007,5-14,17.0,male
RU,2008,5-14,11.0,male
RW,2007,5-14,44.0,male
RW,2008,5-14,29.0,male
SA,2008,5-14,12.0,male
SB,2007,5-14,5.0,male
SB,2008,5-14,3.0,male
SC,2008,5-14,0.0,male
SD,2006,5-14,0.0,male
SD,2008,5-14,277.0,male
SE,2005,5-14,0.0,male
SE,2006,5-14,0.0,male
SE,2007,5-14,0.0,male
SE,2008,5-14,0.0,male
SG,2006,5-14,1.0,male
SG,2007,5-14,0.0,male
SG,2008,5-14,0.0,male
SI,2005,5-14,0.0,male
SI,2006,5-14,0.0,male
SI,2007,5-14,0.0,male
SI,2008,5-14,0.0,male
SK,2005,5-14,0.0,male
SK,2006,5-14,3.0,male
SK,2007,5-14,0.0,male
SK,2008,5-14,0.0,male
SL,2007,5-14,44.0,male
SL,2008,5-14,43.0,male
SN,2008,5-14,65.0,male
SR,2006,5-14,4.0,male
ST,2006,5-14,0.0,male
ST,2007,5-14,0.0,male
SV,2007,5-14,8.0,male
SV,2008,5-14,8.0,male
SY,2006,5-14,8.0,male
SY,2007,5-14,7.0,male
SY,2008,5-14,16.0,male
SZ,2007,5-14,29.0,male
SZ,2008,5-14,28.0,male
TC,2006,5-14,0.0,male
TG,2007,5-14,0.0,male
TJ,2005,5-14,8.0,male
TJ,2008,5-14,7.0,male
TK,2007,5-14,0.0,male
TM,2005,5-14,2.0,male
TM,2007,5-14,2.0,male
TO,2006,5-14,0.0,male
TO,2007,5-14,0.0,male
TO,2008,5-14,0.0,male
TR,2005,5-14,32.0,male
TR,2006,5-14,38.0,male
TR,2007,5-14,37.0,male
TR,2008,5-14,41.0,male
TT,2006,5-14,2.0,male
TT,2007,5-14,1.0,male
TT,2008,5-14,2.0,male
TV,2006,5-14,0.0,male
TV,2008,5-14,2.0,male
UA,2007,5-14,9.0,male
UA,2008,5-14,8.0,male
UG,2008,5-14,269.0,male
US,2006,5-14,8.0,male
US,2007,5-14,8.0,male
US,2008,5-14,7.0,male
UY,2008,5-14,1.0,male
UZ,2005,5-14,24.0,male
UZ,2006,5-14,11.0,male
UZ,2007,5-14,18.0,male
UZ,2008,5-14,7.0,male
VC,2007,5-14,0.0,male
VE,2006,5-14,9.0,male
VE,2007,5-14,17.0,male
VE,2008,5-14,18.0,male
VU,2006,5-14,0.0,male
VU,2008,5-14,1.0,male
WF,2007,5-14,0.0,male
WS,2008,5-14,0.0,male
ZA,2006,5-14,1407.0,male
ZA,2007,5-14,594.0,male
ZA,2008,5-14,1519.0,male
ZW,2007,5-14,132.0,male
AD,1996,0-14,0.0,male
AD,1997,0-14,0.0,male
AD,1998,0-14,0.0,male
AD,1999,0-14,0.0,male
AD,2000,0-14,0.0,male
AD,2001,0-14,0.0,male
AD,2002,0-14,0.0,male
AD,2003,0-14,0.0,male
AD,2004,0-14,0.0,male
AD,2005,0-14,0.0,male
AD,2006,0-14,0.0,male
AD,2008,0-14,0.0,male
AE,1999,0-14,4.0,male
AE,2000,0-14,2.0,male
AE,2002,0-14,1.0,male
AE,2003,0-14,2.0,male
AE,2004,0-14,1.0,male
AE,2006,0-14,0.0,male
AE,2007,0-14,2.0,male
AE,2008,0-14,0.0,male
AF,1997,0-14,0.0,male
AF,1998,0-14,30.0,male
AF,1999,0-14,8.0,male
AF,2000,0-14,52.0,male
AF,2001,0-14,129.0,male
AF,2002,0-14,90.0,male
AF,2003,0-14,127.0,male
AF,2004,0-14,139.0,male
AF,2005,0-14,151.0,male
AF,2006,0-14,193.0,male
AF,2007,0-14,186.0,male
AF,2008,0-14,187.0,male
AG,1996,0-14,0.0,male
AG,2000,0-14,0.0,male
AG,2002,0-14,0.0,male
AG,2003,0-14,0.0,male
AG,2007,0-14,0.0,male
AI,2004,0-14,0.0,male
AL,1995,0-14,0.0,male
AL,1997,0-14,0.0,male
AL,1998,0-14,1.0,male
AL,1999,0-14,0.0,male
AL,2000,0-14,2.0,male
AL,2001,0-14,3.0,male
AL,2002,0-14,0.0,male
AL,2003,0-14,0.0,male
AL,2004,0-14,5.0,male
AL,2005,0-14,0.0,male
AL,2006,0-14,5.0,male
AL,2007,0-14,0.0,male
AL,2008,0-14,1.0,male
AM,1995,0-14,1.0,male
AM,1996,0-14,2.0,male
AM,1997,0-14,2.0,male
AM,1998,0-14,2.0,male
AM,1999,0-14,4.0,male
AM,2000,0-14,2.0,male
AM,2001,0-14,2.0,male
AM,2002,0-14,1.0,male
AM,2003,0-14,12.0,male
AM,2004,0-14,2.0,male
AM,2005,0-14,3.0,male
AM,2006,0-14,0.0,male
AM,2007,0-14,1.0,male
AM,2008,0-14,0.0,male
AN,1996,0-14,0.0,male
AN,1997,0-14,0.0,male
AN,1998,0-14,0.0,male
AN,1999,0-14,0.0,male
AN,2000,0-14,0.0,male
AN,2001,0-14,0.0,male
AN,2002,0-14,0.0,male
AN,2003,0-14,0.0,male
AN,2004,0-14,1.0,male
AN,2006,0-14,0.0,male
AO,1995,0-14,386.0,male
